title_en,title_am,similarity_score,alternative_position,reason
Node and React (Typescript) developer,መስቀለኛ መንገድ እና ምላሽ (Typescript) ገንቢ,0.0,"Full Stack Developer (Node.js and React, TypeScript)","Node, React with TypeScript maps to Full Stack Developer specifying TypeScript."
Node and ReactJs Developer,መስቀለኛ መንገድ እና ReactJs ገንቢ,0.0,Full Stack Developer (Node.js and React),Node and ReactJs is typical full stack development role.
Node Backend Developer,መስቀለኛ ጀርባ ገንቢ,0.0,Backend Developer (Node.js),"Specifically backend with Node.js, standardized as Backend Developer."
Node JS,መስቀለኛ መንገድ JS,0.0,Node.js Developer,"Node JS refers to Node.js, standard role is Node.js Developer."
Node js (Nest.js) And React.js,መስቀለኛ መንገድ js (Nest.js) እና ምላሽ.js,0.0,Full Stack Developer (Node.js/Nest.js and React),"Combines Node.js with Nest.js framework and React, standard as Full Stack Developer."
Node.js & Telegraf.js Developer,Node.js እና Telegraf.js ገንቢ,0.0,Software Developer,"Node.js and Telegraf.js are backend/framework skills, best mapped to generic software developer role in Ethiopian market."
Node.js and React Developer,Node.js እና React ገንቢ,0.0,Full Stack Developer,Combination of Node.js (backend) and React (frontend) fits full stack development.
"NORTH WOLLO ZONE ZONAL PROGRAM COORDINATOR – HIGHLAND RESILIENCE ACTIVITY: TIGRAY REGION, ETHIOPA",የሰሜን ወሎ ዞን ዞን የፕሮግራም አስተባባሪ - ከፍተኛ የመቋቋም እንቅስቃሴ,0.0,Program Coordinator,"The core role is coordination of a zonal program, despite specific regional and activity details."
NPFS Officer,NPFS መኮንን,0.0,Project Officer,"NPFS Officer implies a project-level role, commonly classified as Project Officer in Ethiopian NGOs."
NPFS Senior Program Manager (Ethiopia),NPFS ሲኒየር ፕሮግራም አስተዳዳሪ,0.0,Senior Program Manager,Senior management role for a large program (NPFS) in Ethiopia.
NRM & Climate Services Specialist,NRM እና የአየር ንብረት አገልግሎት ስፔሻሊስት,0.0,Natural Resource Management Specialist,NRM is standard for Natural Resource Management; climate services are a subset of NRM specialization.
NRM & Livelihood Officer,NRM እና ኑሮን መምራት,0.0,Livelihood Officer,"Primary focus on livelihood with NRM component, common in Ethiopian rural development projects."
NRM/PW & Environment Facilitator,NRM/PW እና አካባቢ አመቻች,0.0,Environment Facilitator,NRM/PW and environment role is essentially an environment facilitation position in community projects.
"NTD Program, Trachoma Technical Assistant",NTD ፕሮግራም፣ ትራኮማ ቴክኒካል ረዳት,0.0,Technical Assistant,"NTD program support role focusing on trachoma, typically categorized as technical assistant."
Nuer language native speaker,የኑዌር ቋንቋ አፍ መፍቻ,0.0,Translator/Interpreter,Native Nuer language speaker is needed for translation/interpretation tasks in multilingual Ethiopian context.
"Nutrition and School Feeding Specialist, Comprehensive Home-grown, Inclusive, Learning and Development School Feeding Project II (CHILD SFP II)",የተመጣጠነ ምግብ እና የትምህርት ቤት አመጋገብ ስፔሻሊስት፣ አጠቃላይ በቤት ውስጥ ያደገ፣ አካታች፣ መማር እና ልማት ትምህርት ቤት መመገብ ፕሮጀክት,0.0,Nutrition and School Feeding Officer,Focus on nutrition and school feeding project management in Ethiopian context.
ob Title: SEO expert,ob ርዕስ: SEO ባለሙያ,0.0,SEO Specialist,Standard title for search engine optimization expertise.
OBGN Specialist,OBGYN ስፔሻሊስት,0.0,OB/GYN Specialist,Medical specialty in obstetrics and gynecology.
Odd Maintainer / Data Encoder,ያልተለመደ ማቆያ / የውሂብ ኢንኮደር,0.0,Data Encoder,Primary responsibility is data entry and encoding.
Odoo ERP customization,የኦዱ ኢአርፒ ማበጀት,0.0,Odoo Developer,Specialist in customizing Odoo ERP modules.
Odoo erp developer,የኦዱ ኢርፕ ገንቢ,0.0,Odoo ERP Developer,Direct match for Odoo ERP development role.
Odoo ERP functional consultant,የኦዱ ኢአርፒ ተግባራዊ አማካሪ,0.0,Odoo Functional Consultant,Direct match for functional consulting on Odoo ERP.
Odoo Expert,ኦዱ ኤክስፐርት,0.0,Odoo Consultant,"General expertise in Odoo, typical in Ethiopian job market."
Odoo Functional Consultant,ኦዱ ተግባራዊ አማካሪ,0.0,Odoo Functional Consultant,Already a standard job title in Odoo ecosystem.
Odoo functional/technical junior consultant,ኦዱ ተግባራዊ/የቴክኒክ ጁኒየር አማካሪ,0.0,Junior Odoo Consultant,Combines functional and technical aspects at junior level.
OFF- FARM ENTERPRISE TECHNICAL SPECIALIST- HIGHLANDS RESILIENCE ACTIVITY,ግብርና ኢንተርፕራይዝ ቴክኒካል ልዩ ባለሙያ - ሃይላንድስ የመቋቋም እንቅስቃሴ,0.0,Enterprise Development Specialist,Off-farm enterprise technical specialist in highlands resilience activity maps to enterprise development specialist.
Office assistant with BASIC GRAPHICS SOFTWARE SKILL,የመሠረታዊ ግራፊክስ ሶፍትዌር ችሎታ ያለው የቢሮ ረዳት,0.0,Office Assistant,Office assistant with basic graphics software skill is primarily an office assistant role.
Office assistant with basic photoshop skill,ከመሠረታዊ የፎቶሾፕ ችሎታ ጋር የቢሮ ረዳት,0.0,Office Assistant,"Similar to previous, office assistant with photoshop skill still fits office assistant."
Office girl and messenger,የቢሮ ሴት እና መልእክተኛ,0.0,Messenger,Office girl and messenger typically refers to a messenger/runner role.
Office Security,የቢሮ ደህንነት,0.0,Security Guard,Office security is equivalent to a security guard position.
Office Shatter/Blinds worker,(ሻተር ሰራተኛ,0.0,Window Blinds Technician,Office shatter/blinds worker involves installing or repairing blinds.
Office Solutions (Furniture) Division Head,የቢሮ መፍትሄዎች (የቤት እቃዎች) ክፍል ኃላፊ,0.0,Furniture Division Manager,Office solutions (furniture) division head is a managerial role for furniture division.
Office stationary product sales,የቢሮ ቋሚ ምርት ሽያጭ,0.0,Stationery Sales Representative,Office stationary product sales is a sales role for office supplies.
Officer Dispute Management - For Omni channel Dep’t,ኦፊሰር ክርክር አስተዳደር,0.0,Dispute Management Officer,Officer dispute management for omnichannel department is a dispute resolution officer.
Officer Remittance,ኦፊሰር ማስተላለፍ,0.0,Remittance Officer,"Officer remittance handles money transfers, standard remittance officer title."
"Officer, Information Technology Risk","ኦፊሰር, የኢንፎርሜሽን ቴክኖሎጂ ስጋት",0.0,IT Risk Officer,Directly related to information technology risk management.
ON- FARM ENTERPRISE SPECIALIST- HIGHLANDS RESILIENCE ACTIVITY,በግብርና ኢንተርፕራይዝ ላይ ልዩ ባለሙያ - ሃይላንድስ የመቋቋም እንቅስቃሴ,0.0,Agriculture Enterprise Specialist,Focuses on farm enterprise development in highlands resilience project.
ON- FARM ENTERPRISE TECHNICAL SPECIALIST- HIGHLANDS RESILIENCE ACTIVITY,በእርሻ ላይ ኢንተርፕራይዝ ቴክኒካል ስፔሻሊስት - ሃይላንድስ የመቋቋም እንቅስቃሴ,0.0,Agricultural Technical Specialist,Provides technical expertise for on-farm enterprises in highlands resilience.
Online Child care(Parenting) Coaching,የመስመር ላይ የልጅ እንክብካቤ(የወላጅነት) ማሰልጠኛ,0.0,Parenting Coach,Online coaching for child care and parenting.
Online Course Curator,የመስመር ላይ ኮርስ ጠባቂ,0.0,Course Curator,Curates online educational content.
Online Fashion Customer Support Representative,የመስመር ላይ ፋሽን የደንበኛ ድጋፍ ተወካይ,0.0,Customer Support Representative - E-commerce,Handles customer inquiries for an online fashion platform.
Online Product Lister,የመስመር ላይ ምርት ዝርዝር,0.0,E-commerce Product Lister,Lists products on e-commerce platforms.
Online Volunteerism,የመስመር ላይ በጎ ፈቃደኝነት,0.0,Volunteer Coordinator,Manages online volunteer activities and engagement.
Operation Head,ኦፕሬሽን ኃላፊ,0.0,Operations Head,Direct mapping for head of operations.
Operational Budget Preparation and Control Expert,የክዋኔ በጀት ዝግጅት እና ቁጥጥር ባለሙያ,0.0,Budget Control Specialist,Specializes in operational budget preparation and control.
Opportunity Coordinator Intern,የዕድል አስተባባሪ ኢንተር,0.0,Intern - Program Coordination,"Opportunity coordinator intern implies entry-level coordination role, standardized as program intern."
Optic Fibre Cable Designers/Planners,ኦፕቲክ ፋይበር ኬብል ዲዛይነሮች/ፕላነሮች,0.0,Fiber Optic Design Engineer,Designers/planners of optic fibre cables in Ethiopian telecom sector map to fiber optic design engineer.
Optic Fibre Cable Splicers,ኦፕቲክ ፋይበር ኬብል ስፕላስተሮች,0.0,Fiber Optic Splicing Technician,"Optic fibre cable splicers perform splicing tasks, common technician role in telecommunications."
Order taker,ትእዛዝ ሰጪ,0.0,Order Processor,Order taker in Ethiopian retail/food service context is typically an order processing clerk.
Order taker and Display (caker),ትዕዛዝ አቅራቢ እና ማሳያ (ኬከር),0.0,Sales and Display Associate,"Order taker and display (caker) suggests bakery counter role, mapped to sales and display associate."
Organization Design & Change Management Officer II,የድርጅት ዲዛይን እና ለውጥ አስተዳደር ኦፊሰር II,0.0,Organizational Development Specialist,"Organization design & change management officer II is a mid-level OD role, common in Ethiopian firms."
Organization Development and Stakeholders Engagement Officer,የድርጅት ልማት እና ባለድርሻ አካላት ተሳትፎ ኦፊሰር,0.0,Stakeholder Relations Officer,Focus on organization development and stakeholder engagement maps to stakeholder relations officer.
Oromiffa Localization and Translation expert,የኦሮሚፋ የአካባቢ እና የትርጉም ባለሙያ,0.0,Oromo Translation Specialist,Oromiffa localization and translation expert is a language specialist role.
Oromiffa Phone Call Support,Oromiffa የስልክ ጥሪ ድጋፍ,0.0,Customer Support Representative - Oromo,Oromiffa phone call support is a call center role requiring Oromo language skills.
Oromiffa podcats host,Oromiffa podcats አስተናጋጅ,0.0,Podcast Host (Oromo),"Oromiffa podcast host is a content creator role, standardized as podcast host in Oromo."
Orphan and Vulnerable Children Service (OVC) Director,ወላጅ አልባ እና ተጋላጭ ህጻናት አገልግሎት (OVC) ዳይሬክተር,0.0,Social Services Director,Oversees programs for orphaned and vulnerable children.
OTN Local Engineer,OTN የአካባቢ መሐንዲስ,0.0,Network Engineer (Optical Transport),OTN refers to Optical Transport Network engineering.
OTP/SC nurse (2x),OTP/SC ነርስ,0.0,Therapeutic Feeding Nurse,OTP/SC are nutrition-focused therapeutic programs for malnourished children.
Out door tiling work,ከቤት ውጭ የበር ንጣፍ ሥራ,0.0,Tiler,Outdoor tiling is a specialized manual tiling role.
Out Source Mechanic,የውጭ ምንጭ መካኒክ,0.0,Contract Mechanic,Outsourced mechanic providing maintenance services.
Outcome Assessment Research Assistant (OA-RA,የውጤት ምዘና ምርምር ረዳት,0.0,Research Assistant,Supports outcome assessment and data collection in research.
Outdoor Telebirr Sales,የውጪ ቴሌቢር ሽያጭ,0.0,Field Sales Agent (Mobile Money),"Sells Telebirr services outdoors, promoting mobile money."
Outlet Team Leader,የውጤት ቡድን መሪ,0.0,Retail Store Manager,Leads an outlet or retail team.
OV Surveys & Entomology Specialist (Senior Health Program Specialist),የኦቪ ዳሰሳ እና የኢንቶሞሎጂ ባለሙያ (የከፍተኛ የጤና ፕሮግራም ባለሙያ),0.0,Health Program Specialist (Vector Control),Focuses on entomology surveys and disease vector surveillance.
OVC and HIV Care and Treatment Program Manager,የኦቪሲ እና የኤችአይቪ እንክብካቤ እና ህክምና ፕሮግራም አስተዳዳሪ,0.0,HIV/AIDS Program Manager,Manages HIV care and treatment programs including OVC components.
OVC Care & Support Officer,የኦቪሲ እንክብካቤ እና ድጋፍ ኦፊሰር,0.0,Child Care and Support Officer,OVC stands for Orphans and Vulnerable Children; care and support is core role.
OVC Health Linkage Referral Coordinator,OVC የጤና ትስስር ሪፈራል አስተባባሪ,0.0,Health Referral Coordinator,Coordinates health service linkages and referrals for OVC.
OVC Livelihood and Gender Development Officer,OVC የኑሮ እና የሥርዓተ-ፆታ ልማት ኦፊሰር,0.0,Livelihood and Gender Officer,Focuses on economic empowerment and gender aspects for OVC.
OVC Service Specialist,OVC አገልግሎት ስፔሻሊስት,0.0,OVC Program Specialist,General specialist role for OVC services.
OVC_ Health Linkage Referral Coordinator,OVC_ የጤና ትስስር ሪፈራል አስተባባሪ,0.0,Health Referral Coordinator,Same as #1 with underscore; coordinates health referrals.
Ox horn supplier,የበሬ ቀንድ አቅራቢ,0.0,Livestock By-Product Supplier,"Supplies ox horns, a by-product of livestock."
Packaging Machine Debugger,የማሸጊያ ማሽን አራሚ,0.0,Packaging Machine Technician,Debugging and maintenance of packaging machines.
Packing List writer,የማሸጊያ ዝርዝር ጸሐፊ,0.0,Logistics Documentation Clerk,Writes packing lists for shipment documentation.
PACS Developer,PACS ገንቢ,0.0,Medical Imaging Software Developer,Develops PACS (Picture Archiving and Communication System) for healthcare.
Laravel Developer,ላራቬል ገንቢ,0.0,Backend Developer (Laravel),Specializes in Laravel PHP framework for backend development.
PHP Laravel Developer,ፒኤችፒ ላራቭል ገንቢ,0.0,PHP Developer,"Laravel is a PHP framework, so PHP Developer is the closest standard title."
Paid intern programmer,የሚከፈልበት የተለማማጅ ፕሮግራም አውጪ,0.0,Intern Programmer,"Position explicitly states paid intern programmer, standardized to Intern Programmer."
Paid Intern Social Media Manager & Graphics Designer,የሚከፈልበት የውስጥ ማህበራዊ ሚዲያ አስተዳዳሪ እና ግራፊክስ ዲዛይነር,0.0,Social Media Manager,Combines social media management and graphic design; social media manager is a common standard.
Content writer and Socialmedia manager,የማህበራዊ ሚዲያ,0.0,Content Writer,"Content writing is the primary role, with social media management as secondary."
Paint and pattern design,የቀለም እና የንድፍ ንድፍ,0.0,Graphic Designer,Paint and pattern design falls under graphic design in the Ethiopian job market.
Partner Experience Navigator (PEN) officer or Customer Service Officer,የአጋር ልምድ ናቪጌተር (PEN) መኮንን ወይም የደንበኛ አገልግሎት ኦፊሰር,0.0,Customer Service Officer,The latter title is a standard position; the former is a variant.
Website Design and Development Project.,የድር ጣቢያ ዲዛይን እና ልማት ፕሮጀክት,0.0,Web Developer,Website design and development project indicates a web development role.
Website Design project,የድር ጣቢያ ዲዛይን ፕሮጀክት,0.0,Web Designer,Focus on design aspect of the website.
Partnership and Capacity Development Officer,አጋርነት እና አቅም ልማት ኦፊሰር,0.0,Partnerships Officer,Common title for officers handling partnerships and capacity development.
Partnership and Localization Advisor,የአጋርነት እና አካባቢያዊነት አማካሪ,0.0,Partnerships Advisor,Advisor level for partnership and localization functions.
Partnership Engagement Assistant,የአጋርነት ተሳትፎ ረዳት,0.0,Partnership Assistant,Assistant-level partnership support role.
Partnership Engagement Officer,የአጋርነት ተሳትፎ ኦፊሰር,0.0,Partnership Officer,Officer-level partnership engagement role.
Partnership Lead,የአጋርነት አመራር,0.0,Partnership Manager,Lead implies managerial responsibility.
Parts Sales Executive,ክፍሎች ሽያጭ አስፈጻሚ,0.0,Parts Sales Representative,Sales role focused on automotive parts.
Parts Tool Store Keeper,ክፍሎች መሣሪያ መደብር ጠባቂ,0.0,Store Keeper,Tool store keeping and inventory management.
Passenger Application Tester,የመንገደኞች ማመልከቻ ፈታሽ,0.0,Application Tester,Testing passenger-facing software applications.
Pastoralist Community TB Project Manager,አርብቶ አደር ማህበረሰብ ቲቢ ፕሮጀክት ስራ አስኪያጅ,0.0,Project Manager (TB),Managing community-based TB project.
Patient registration and cash handling,የታካሚ ምዝገባ እና የገንዘብ አያያዝ,0.0,Patient Registration Clerk,Handling patient registration and cash transactions.
Pavement Forman,ፔቭመንት ፎርማን,0.0,Pavement Foreman,Supervising pavement construction work.
Paver Operator,የፓቨር ኦፕሬተር,0.0,Paver Operator,Operating asphalt paver machinery.
Payment and Settlement Officer,የክፍያ እና የሰፈራ ኦፊሰር,0.0,Settlement Officer,Common banking role focusing on payment and settlement operations.
Payment and System Administrator,የክፍያ እና የስርዓት አስተዳዳሪ,0.0,Payment Systems Administrator,Combines payment operations with system administration.
Payment gateway integrator,የክፍያ ፍኖት መጋጠሚያ,0.0,Payment Integration Specialist,Role focused on integrating payment gateways.
Payment integration,የክፍያ ውህደት,0.0,Payment Integration Specialist,Generic title for payment integration tasks.
Payment Integration | PHP,የክፍያ ውህደት | ፒኤችፒ,0.0,PHP Developer (Payment Integration),Specifies the technology (PHP) used for payment integration.
Payment Integration Expert,የክፍያ ውህደት ባለሙያ,0.0,Senior Payment Integration Engineer,Expert-level role in payment integration.
PBF Data Officer,PBF የውሂብ ኦፊሰር,0.0,Data Officer (PBF),PBF likely refers to Performance-Based Financing in health programs.
PBX Call Center Solution Provider,የጥሪ ማዕከል መፍትሔ አቅራቢ,0.0,PBX Engineer,Technical role providing PBX and call center solutions.
PBX Telephony Lead Engineer,የፒቢኤክስ ቴሌፎን መሪ መሐንዲስ,0.0,Senior PBX Engineer,Lead engineering role for PBX telephony systems.
Peace Building Technical Advisor,የሰላም ግንባታ የቴክኒክ አማካሪ,0.0,Peace Building Advisor,Standard title for technical advisors in peace building programs.
Peachtree and IFRS Trainer,Peachtree እና IFRS አሰልጣኝ,0.0,Accounting Trainer,"Peachtree is accounting software, IFRS are accounting standards; trainer role mapped to accounting trainer."
Peachtree Data inputer/Journalizer,Peachtree ውሂብ ማስገቢያ / ጋዜጠኛ,0.0,Data Entry Clerk (Accounting),Data input and journalizing in Peachtree falls under accounting data entry.
Peachtree Expert,Peachtree ኤክስፐርት,0.0,Accounting Software Specialist,Expert in Peachtree software aligns with accounting software specialization.
Peanut butter Batchmaker,የኦቾሎኒ ቅቤ Batchmaker,0.0,Production Worker (Food Manufacturing),Batchmaking peanut butter is a production role in food manufacturing.
Pediatric HIV Care and Treatment Clinical Advisor,የሕፃናት የኤችአይቪ እንክብካቤ እና ሕክምና ክሊኒካዊ አማካሪ,0.0,Clinical Advisor (Pediatric HIV),Advisor for pediatric HIV care and treatment.
Pen tester,የብዕር ሞካሪ,0.0,Penetration Tester,Standard cybersecurity job title.
Penetration Tester,የመግባት ሞካሪ,0.0,Penetration Tester,Already a standard job title.
"People and Culture Specialist, Ethiopia",የህዝብ እና የባህል ባለሙያ፣ ኢትዮጵያ,0.0,Human Resources Specialist,People and Culture is a modern HR title; mapped to HR specialist.
Percussionist/cajon player,Percussionist / cajon ተጫዋች,0.0,Musician (Percussionist),Percussionist/cajon player is a musical performer.
Performance & Disciplinary Management Expert,የአፈጻጸም እና የዲሲፕሊን አስተዳደር ባለሙያ,0.0,Employee Relations Specialist,Performance and disciplinary management is core to employee relations.
Performance Assessor,የአፈጻጸም ገምጋሚ,0.0,Performance Monitoring Officer,Common title for assessing performance in Ethiopian NGOs or government projects.
Performance Based Financing (PBF) Data Manager,በአፈጻጸም ላይ የተመሰረተ ፋይናንስ (PBF) የውሂብ አስተዳዳሪ,0.0,Data Manager,Core function is data management within the PBF health program context.
Performance Based Financing (PBF) Education Verification Officer,በአፈጻጸም ላይ የተመሰረተ ፋይናንስ (PBF) የትምህርት ማረጋገጫ ኦፊሰር,0.0,Education Verification Officer,"Focused on verifying education records, common in PBF social programs."
Performance Based Financing (PBF) Finance Expert,በአፈጻጸም ላይ የተመሰረተ ፋይናንስ (PBF) የፋይናንስ ባለሙያ,0.0,Finance Expert,"Finance role specific to PBF, standardized as Finance Expert in many organizations."
Performance Based Financing (PBF) Project Coordinator,በአፈጻጸም ላይ የተመሰረተ ፋይናንስ (PBF) ፕሮጀክት አስተባባሪ,0.0,Project Coordinator,Standard project coordination role across sectors in Ethiopia.
Performance Based Financing (PBF) Regional Focal Person,በአፈጻጸም ላይ የተመሰረተ ፋይናንስ (PBF) ክልላዊ የትኩረት ሰው,0.0,Regional Coordinator,"Regional focal point function, commonly titled Regional Coordinator."
Performance Test Lead,የአፈጻጸም ሙከራ መሪ,0.0,Test Lead,"Leads performance testing activities, standard IT title."
Performance Tester/Engineer with Loadrunner Enterprise experience.,የአፈጻጸም ሞካሪ/ኢንጂነር ከሎድሩንነር ኢንተርፕራይዝ ልምድ ጋር,0.0,Performance Test Engineer,"Specialist in performance testing with Loadrunner, a recognized IT role."
Persinal Assistance,ቋሚ እርዳታ,0.0,Personal Assistant,"Administrative support role, common in Ethiopian offices."
Personal for an internet and game zone,ለበይነመረብ እና ለጨዋታ ዞን የግል,0.0,Internet Café Attendant,"Customer service role for internet/game zones, typical local job title."
Personal for Internet cafe,ለኢንተርኔት ካፌ የግል,0.0,Internet Cafe Attendant,Direct role managing internet cafe operations and assisting customers.
personal franchiser,የግል franchiser,0.0,Franchise Coordinator,Miswritten title; likely involves coordinating franchise business development in Ethiopia.
PHC Assessors,PHC ገምጋሚዎች,0.0,Health Care Assessor,PHC stands for Primary Health Care; assesses health programs or patients.
Phone Call project German+ Scottish+ Australian+ Canadian French,የስልክ ጥሪ ፕሮጀክት የጀርመን+ ስኮትላንድ+ አውስትራሊያ+ የካናዳ ፈረንሳይኛ,0.0,Multilingual Call Center Agent,"Requires handling phone calls in German, Scottish (English), Australian, Canadian French."
Photo collage maker,የፎቶ ኮላጅ ሰሪ,0.0,Graphic Designer,Creating photo collages is a graphic design task.
Photo to Cartoon creator,ፎቶ ለካርቶን ፈጣሪ,0.0,Graphic Designer,Converting photos to cartoons requires digital illustration skills.
Photo to Text Amharic Writing,ፎቶ ወደ ጽሑፍ የአማርኛ ጽሕፈት,0.0,Data Entry Clerk (Amharic),Transcribing Amharic text from images into digital format.
PHP (Yii Framework) Developer,PHP (Yii Framework) ገንቢ,0.0,PHP Developer (Yii Framework),Exact specialization in Yii framework as a PHP developer.
PHP / Laravel developer,ፒኤችፒ / ላራቬል ገንቢ,0.0,PHP/Laravel Developer,Common web development role using Laravel framework.
PHP / Symfony Developer,ፒኤችፒ / ሲምፎኒ ገንቢ,0.0,PHP/Symfony Developer,Common web development role using Symfony framework.
Php / Yii frame work developer,ፒኤችፒ / Yii ፍሬም ሥራ ገንቢ,0.0,PHP Developer,"Yii is a PHP framework, so the role is primarily PHP development."
PHP + Codignator Developer,ፒኤችፒ + ኮዲነተር ገንቢ,0.0,PHP Developer,"CodeIgniter is a PHP framework, thus core skill is PHP."
PHP and CSS DEVELOPER,PHP እና CSS ገንቢ,0.0,Web Developer (PHP & Frontend),Combines PHP backend with CSS frontend skills.
PHP and Ionic developer,PHP እና Ionic ገንቢ,0.0,Mobile Application Developer (Hybrid),"Uses Ionic for mobile and PHP for backend, typical hybrid mobile developer."
Php Script Developer,ፒኤችፒ ስክሪፕት ገንቢ,0.0,PHP Developer,Focus on PHP scripting for development tasks.
"PHP, Python, C# developers",PHP፣ Python፣ C# ገንቢዎች,0.0,Software Developer,"Proficient in multiple programming languages (PHP, Python, C#) indicating software development."
Phyton programming,Phyton ፕሮግራሚንግ,0.0,Python Developer,Corrected spelling of Python; core skill is Python programming.
Pikanol Weaving Production Section Head,የፒካኖል ሽመና ማምረቻ ክፍል ኃላፊ,0.0,Weaving Production Supervisor,"Section head role in weaving production, overseeing operations."
PIN Issuing Officer II,ፒን ሰጪ ኦፊሰር II,0.0,Card Issuance Officer,"Responsible for issuing PINs, typically for bank cards or similar."
Pipe Production Mixer Operator,የቧንቧ ማምረቻ ማደባለቅ ኦፕሬተር,0.0,Mixer Operator (Pipe Manufacturing),Operates mixing machinery in pipe production line.
Plan and Program Expert,እቅድ እና ፕሮግራም ኤክስፐርት,0.0,Planning and Program Specialist,Standard title for planning and program roles in Ethiopian context.
"Plan, Budget and Report Senior Expert","እቅድ, በጀት እና ከፍተኛ ኤክስፐርትን ሪፖርት ያድርጉ",0.0,Senior Planning and Budget Expert,"Combines planning, budget, and reporting responsibilities typical for senior expert positions."
Planning & Design Division Head,እቅድ እና ዲዛይን ክፍል ኃላፊ,0.0,Head of Planning and Design Division,Directly maps to division head overseeing planning and design functions.
"Planning, Monitoring, Evaluations and Reporting (PMER) Director",እቅድ፣ ክትትል፣ ግምገማዎች እና ሪፖርት ማድረግ (PMER) ዳይሬክተር,0.0,"Director of Planning, Monitoring and Evaluation","Standard PMER director title, common in Ethiopian NGOs and public sector."
Plant & Equipment Head,የእፅዋት እና መሳሪያዎች ኃላፊ,0.0,Plant and Equipment Manager,"Head of plant and equipment unit, typically managerial role."
Plant Accounts Controller,የእፅዋት መለያዎች ተቆጣጣሪ,0.0,Plant Accountant,"Controls accounts at plant level, equivalent to plant accounting role."
Plant Bitumen Heater & Boiler Man,የእፅዋት ሬንጅ ማሞቂያ እና ቦይለር ሰው,0.0,Boiler and Bitumen Heater Operator,Operator of specific heating equipment used in Ethiopian construction/industry.
Plant Controller-Finance,የእፅዋት ተቆጣጣሪ-ፋይናንስ,0.0,Plant Financial Controller,"Finance controller specifically for a plant, standard role."
Plant HR Business Partner,የእፅዋት የሰው ኃይል ንግድ አጋር,0.0,HR Business Partner (Plant),Standard HRBP role aligned with plant operations.
Plant Legal Advisor and Attorney,የእፅዋት የህግ አማካሪ እና ጠበቃ,0.0,Plant Legal Advisor,"Provides legal counsel to plant operations, typical title in Ethiopia."
Plant Maintenance Head,የእፅዋት እንክብካቤ ኃላፊ,0.0,Plant Maintenance Manager,Head of maintenance in a plant is typically titled Plant Maintenance Manager.
Plant Operation Data Analisist,የእፅዋት አሠራር መረጃ ተንታኝ,0.0,Data Analyst,"Role involves data analysis for plant operations, so Data Analyst is appropriate."
Planting Senior Supervisor,ከፍተኛ ተቆጣጣሪ መትከል,0.0,Agricultural Supervisor,Senior supervisor overseeing planting activities in Ethiopian agriculture.
Plastic bottle designer,የፕላስቲክ ጠርሙስ ዲዛይነር,0.0,Product Designer,"Designing plastic bottles falls under product design, though specialized."
Plastic Injection Factory Head,የፕላስቲክ መርፌ ፋብሪካ ራስ,0.0,Factory Manager,Head of a plastic injection factory is typically a Factory Manager.
Plastic Production Division Head,የፕላስቲክ ምርት ክፍል ኃላፊ,0.0,Production Manager,Head of plastic production division is a Production Manager.
Platform Lead - Payment Infrastructure,መድረክ መሪ - የክፍያ መሠረተ ልማት,0.0,Platform Lead,Leading a payment infrastructure platform; Platform Lead is standard.
PlayConsole Account Creator,የPlayConsole መለያ ፈጣሪ,0.0,Account Administrator,"Creating Play Console accounts is an administrative task, often titled Account Administrator."
"PlayMatters Gender, Equality, Diversity and Inclusion Officer",PlayMatters ጾታ፣ እኩልነት፣ ልዩነት እና ማካተት መኮንን,0.0,Gender and Inclusion Officer,"Focus on gender, equality, diversity, and inclusion; common title in NGOs."
PlayMatters Project Manager,የፕሌይሜትስ ፕሮጀክት አስተዳዳሪ,0.0,Project Manager,"Managing projects for PlayMatters, standard Project Manager title."
Plugin developer for Joomla,ተሰኪ ገንቢ ለ Joomla,0.0,Web Developer,"Joomla plugin development is a specialized niche within web development, focusing on CMS extensions."
Plugin of software,የሶፍትዌር ፕለጊን,0.0,Software Engineer,"The vague term 'plugin of software' suggests developing software add-ons, which aligns with software engineering roles."
PMEL and Programs Quality Assurance Officer,PMEL እና የፕሮግራሞች ጥራት ማረጋገጫ ኦፊሰር,0.0,Monitoring and Evaluation Officer,"PMEL (Planning, Monitoring, Evaluation, Learning) combined with quality assurance closely matches M&E roles with a focus on program quality."
PMEL Lead,PMEL መሪ,0.0,Monitoring and Evaluation Manager,"PMEL Lead indicates a senior role overseeing M&E functions, equivalent to an M&E Manager."
PMER Coordinator,PMER አስተባባሪ,0.0,Monitoring and Evaluation Coordinator,"PMER (Planning, Monitoring, Evaluation, Reporting) Coordinator is directly comparable to an M&E Coordinator."
Podcast cohost,የፖድካስት ስብስብ,0.0,Content Creator,"Podcast cohosting involves producing and presenting audio content, fitting under content creation or media roles."
Policy Collaboration and Diffusion Officer,የፖሊሲ ትብብር እና ስርጭት ኦፊሰር,0.0,Policy Analyst,"Policy Collaboration and Diffusion focuses on analyzing and spreading policies, akin to a Policy Analyst."
Policy LINK Ethiopia – MEL Coordinator,ፖሊሲ LINK ኢትዮጵያ - የMEL አስተባባሪ,0.0,"Monitoring, Evaluation, and Learning (MEL) Coordinator","Direct translation of the role within a specific project, standardized as MEL Coordinator."
