title_en,title_am,similarity_score,alternative_position,reason
Branch Manager “D” for Kirkos Branch,,0,Branch Manager,The 'D' grade and Kirkos Branch are specific details; 'Branch Manager' is the standard title in Ethiopian banking.
Branding and Talent Attraction Executive,,0,Employer Branding Specialist,Combines branding and talent attraction; 'Employer Branding Specialist' is a standard HR title in Ethiopia.
Branding Design for our Printing Company,,0,Graphic Designer,Branding design for a printing company is a graphic design task; 'Graphic Designer' is the standard title.
Brand logo design for webpage,,0,Web Designer,Brand logo design for a webpage is a web design task; 'Web Designer' is the standard title in Ethiopia.
Brand Studio Lead,,0,Creative Director,Brand Studio Lead is a senior creative role; 'Creative Director' is the standard equivalent in Ethiopian agencies.
Brochure Design,,0,Graphic Designer,Brochure design is a core task of graphic design.
Broschore distribution,,0,Marketing Assistant,Distributing brochures is a common marketing support activity.
Browser Automation For Data Entry,,0,Data Entry Clerk,Browser automation for data entry is a specialized form of data entry.
Budget and Inventory Head,,0,Inventory Manager,Budget and inventory head oversees inventory management and budgeting.
Building a Video Streaming Service Using Bubble.io,,0,Software Developer,Building a video streaming service using Bubble.io involves software development.
Building General Foreman,,0,Construction Foreman,Building general foreman supervises construction workers on site.
Burgur and Pizza Waiter and Assistant Shef,,0,Food Service Worker,Waiter and assistant chef roles fall under food service.
Business card and flyer distributor for a business,,0,Marketing Assistant,Distributing business cards and flyers is a marketing support task.
Business card designer,,0,Graphic Designer,Business card design is a typical graphic design task.
Business Operations and Website Development Internship/Mentorship,,0,Business Operations Intern,Internship/mentorship in business operations and website development.
Business Pitch Deck Presenter,,0,Business Development Representative,Pitch deck presenting is a key function of business development roles in Ethiopia.
Business Plan for a Ride share App,,0,Business Plan Writer,Writing a business plan for a specific app is a specialized business plan writing task.
Business Plan & Proposal Writer,,0,Business Plan Writer,The title directly matches the standard role of writing business plans and proposals.
Business Processing outsource (BPO) expert,,0,BPO Specialist,BPO expert is a common term in Ethiopia for business process outsourcing roles.
CAD designer for CNC machine,,0,CAD Designer,CAD design for CNC machines is a standard CAD designer role in manufacturing.
Cad Drawing Cam working Macbine operator,,0,CNC Machine Operator,Operating a CNC machine with CAD/CAM skills is a standard CNC operator role.
የካፌ ሰራተኛ እና ጠቅላላ አገልግሎት / Cafe & Coffee House Personnel,,0,Cafe Attendant,Cafe and coffee house personnel in Ethiopia typically perform attendant duties.
Café / Dietary Head,,0,Head Chef,Leading a café's dietary and kitchen operations is a head chef role.
Cajon or percession player,,0,Percussionist,"Cajon is a percussion instrument, so the role is a percussionist."
Call Center & Customers services in Afaan Oromoo,,0,Call Center Agent,Call center and customer service in Afaan Oromoo is a standard call center agent role.
call center solution provier,,0,Call Center Agent,"The input 'call center solution provier' is likely a misspelling of 'call center solution provider', which is a role similar to a call center agent in the Ethiopian context."
Call Center Superivisor,,0,Call Center Supervisor,"The input 'Call Center Superivisor' is a misspelling of 'Call Center Supervisor', a standard position in Ethiopian call centers."
"Call for bid- Baseline Survey & Gender, Youth and Social Inclusion (GYSI) Analysis",,0,Research Consultant,"This is a call for consultancy for a baseline survey and analysis, which aligns with the role of a research consultant in Ethiopia."
Call for Consultancy: Annual Survey for RAYEE Project,,0,Research Consultant,"This is a call for consultancy for an annual survey, matching the role of a research consultant in the Ethiopian job market."
Call for Consultancy- Consultancy Service to Conduct End Line Evaluation Study for ACROSS Project in Ethiopia,,0,Monitoring and Evaluation Consultant,"This involves an end-line evaluation study, which is a typical task for a monitoring and evaluation consultant in Ethiopia."
"CALL FOR CONSULTANCY FOR COMPILATION, AND SUMMARIZATION ANALYSIS OF ACCESSIBILITY AUDIT REPORTS",,0,Data Analyst,"This involves compilation and summarization analysis of audit reports, which aligns with the role of a data analyst in Ethiopia."
"Call for Consultancy Service - End line evaluation of “Emergency Assistance to the Conflict-Displaced IDPs and affected Host Communities of Amhara and Benishangul-Gumuz Regions, Addressing Immediate Basic Needs and Building Resilience”.",,0,Monitoring and Evaluation Consultant,"This is an end-line evaluation for an emergency assistance project, fitting the role of a monitoring and evaluation consultant in Ethiopia."
Call for Consultancy Service for Business Cases _Medium Scale Digester and technological innovation,,0,Business Development Consultant,"This involves developing business cases for technological innovations, which is typical for a business development consultant in Ethiopia."
Call for consultancy service for Design Social Behaviour Change Communication (SBCC) strategy for Facial Cleanliness and Handwashing (Based on formative research findings),,0,Communication Consultant,"This involves designing a social behavior change communication strategy, which aligns with the role of a communication consultant in Ethiopia."
Call for consultancy service for documentation of the impact of bio-slurry on food production,,0,Research Consultant,"This involves documenting the impact of bio-slurry on food production, which is a research-oriented task fitting a research consultant in Ethiopia."
Call for Consultancy Service for Implementation of International Public Sector Accounting Standards (IPSAS),,0,IPSAS Consultant,The title specifies consultancy for implementing International Public Sector Accounting Standards.
Call for Consultancy Service for Implementation of International Public Sector Accounting Standards (IPSAS),,0,IPSAS Consultant,"Duplicate of index 0, same consultancy role for IPSAS implementation."
Call for Consultancy Service For inclusive MHM Skill Training On Both Theory & Practice of Pad Making for Girls with Disabilities,,0,MHM Training Consultant,Focuses on inclusive menstrual hygiene management skill training for girls with disabilities.
Call for consultancy service for Resource Mobilization and Partnership Building for HESPI,,0,Resource Mobilization Consultant,Consultancy for resource mobilization and partnership building for HESPI.
Call for Consultancy Service On Inclusive Media Guidelines and Policy Development,,0,Media Policy Consultant,Consultancy on inclusive media guidelines and policy development.
Call for Consultancy Service on Reviewing & Producing Inclusive Accessible IEC/BCC Materials on COVID-19 Vaccination and Routine Immunization,,0,IEC/BCC Materials Consultant,Consultancy for reviewing and producing inclusive accessible IEC/BCC materials on vaccination and immunization.
Call for Consultancy Service – Project Pre-Feasibility Study,,0,Pre-Feasibility Study Consultant,Consultancy for conducting a project pre-feasibility study.
"Call for Consultancy Services for Developing and Piloting Toolkit for CSOs on Human Rights, Gender Equity and Environment Sustainability",,0,CSO Toolkit Development Consultant,"Consultancy for developing and piloting a toolkit for CSOs on human rights, gender equity, and environment sustainability."
Call for Consultancy Services Training Terms of Reference: “Gender Transformative Programming,,0,Gender Training Consultant,Consultancy for training on gender transformative programming.
Call for Consultancy Service To Conduct a Rapid Assessment of Challenges Facing Lawyers and Human Rights Organizations working on Strategic Litigation in Ethiopia,,0,Legal Assessment Consultant,Consultancy to conduct a rapid assessment of challenges facing lawyers and human rights organizations on strategic litigation.
"Call for consultancy service to conduct project Terminal Evaluation in SNNPR, Wolaita Zone, Boloso Sore and Damot Pulasa districts.",,0,Monitoring and Evaluation Consultant,Conducting a project terminal evaluation is a core M&E task.
Call for consultancy service to conduct salary and benefit survey.,,0,Compensation and Benefits Consultant,Salary and benefit surveys are specialized HR/compensation work.
Call for Consultancy Service to conduct Stakeholders Mapping and Needs Assessment,,0,Research Consultant,Stakeholder mapping and needs assessment are research-oriented activities.
"Call for Consultancy Service - TO CONDUCT TOT ON “ADULT FACILITATION SKILL” FOCUSING ON CONSERVATION AGRICULTURE TRAINING FOR AGRICULTURE EXPERTS IN OROMIA REGIONS, ETHIOPIA",,0,Training Consultant,Conducting a Training of Trainers (TOT) on a specific skill is a training role.
Call for Consultancy Service To prepare Disability Inclusive WASH SBC Materials in Different Formats,,0,Communication and Materials Development Consultant,Preparing WASH SBC materials in different formats is a communication and design task.
Call For Consultancy Service to Support The Ethiopian CSO’s Joint Submission For The 2024 UPR,,0,Policy and Advocacy Consultant,Supporting a joint submission for the UPR is a policy and advocacy activity.
"Call for Consultancy Study on Cultural Identity, Intersectionality, and Gender In the Somali Regional State, Ethiopia",,0,Gender and Social Research Consultant,"Studying cultural identity, intersectionality, and gender is a social research task."
Call for consultancy- to develop context specific community conversation facilitator guide for child eye health program,,0,Curriculum and Training Materials Developer,Developing a facilitator guide for a specific program is a curriculum development role.
Call for Consultancy: To facilitate need – based capacity building training on thematic area related to Youth Care Leavers for the social service workforce,,0,Capacity Building Consultant,Facilitating need-based capacity building training for social service workforce is a capacity building role.
Call for Consultants – Development & Production of Project Best Practice Document,,0,Knowledge Management Consultant,Developing a project best practice document is a knowledge management task.
Call for experienced freelancers and experts (individuals or teams) in the creative industry!,,0,Creative Consultant,"The call targets freelancers and experts in the creative industry, which aligns with a consultant role in creative fields."
Call for External Auditor TERMS OF REFERENCE FOR GUASSA PROJECT AUDIT OF KKSGRANT FUND,,0,External Auditor,The title explicitly calls for an external auditor for a project audit.
Call for External Audit service for an International Auditor and/or Audit Firm,,0,External Auditor,"The call is for external audit services, matching the external auditor position."
Call for External Gender Expert Consultant,,0,Gender Consultant,"The call is for an external gender expert consultant, directly mapping to a gender consultant role."
Call for HMIS Assessment Consultant,,0,HMIS Consultant,"The call is for an HMIS assessment consultant, directly mapping to an HMIS consultant role."
Call for Individual Consultant for MINE Project Sentinel Surveillance Assignment,,0,Monitoring and Evaluation Consultant,"The assignment involves sentinel surveillance for a mine project, which is a monitoring and evaluation task."
Camera man and photho editor .good skill on adobe phothoshop and adobe prime,,0,Photographer and Video Editor,"The role combines camera work and photo editing with skills in Adobe Photoshop and Premiere, typical of a photographer/video editor."
Camera man and social media officer,,0,Social Media Officer,"The role combines camera work and social media management, but the primary focus is social media officer."
Camera women with her own 5D MARK III / IV Camera,,0,Photographer,"The role is specifically for a camera woman with her own high-end camera, indicating a photographer position."
Camp & Facility Head,,0,Camp Manager,"The title 'Camp & Facility Head' implies overseeing camp operations and facilities, which is a camp manager role."
Campus Research and Community Engagement Head,,0,Research and Community Engagement Manager,Head of campus research and community engagement maps to a managerial role overseeing research and outreach.
Candidate Engagement and Partnership Coordinator,,0,Partnership Coordinator,Focus on candidate engagement and partnerships aligns with a coordinator role for partnerships.
Candidate Engagement and Partnership Manager,,0,Partnership Manager,Managerial level for candidate engagement and partnerships.
Candidate Engagement and Partnership Officer,,0,Partnership Officer,Officer level for candidate engagement and partnerships.
Canva designer,,0,Graphic Designer,Canva designer is a specific tool-based role within graphic design.
Capacity Building Assistant,,0,Training Assistant,Capacity building often involves training and development support.
Capacity Building Lead,,0,Training Manager,Lead for capacity building implies managing training programs.
CAPI Household Listing Operation (CHLO),,0,Field Operations Supervisor,CAPI household listing operation is a field data collection supervisory role.
CAPI Main & Parallel Surveys (MPS),,0,Survey Coordinator,Managing main and parallel surveys in CAPI context.
Card Personalization Services Officer I ( Contract 5 Months ),,0,Card Personalization Officer,Short-term contract role for card personalization services.
ሞግዚት (caregiver ),,0,Caregiver,Direct translation of the Amharic term for caregiver.
"Carton boxes printing, folder gluer machines operator or assistant",,0,Printing Machine Operator,Operates printing and folder gluer machines in carton production.
Carton Factory Manager,,0,Factory Manager,Manages overall operations of a carton factory.
"Cartons boxes printing, folder gluer machines operator OR Assistant carton boxes and folder gluer machine operator.",,0,Printing Machine Operator,Operates or assists with printing and folder gluer machines in carton production.
ጉዳይ አስፈፃሚ/Case executive,,0,Case Executive,Direct translation of the Amharic term for case executive.
Cash and Voucher Assistance Information Management Officer (Re-Advertised),,0,Information Management Officer,Manages information for cash and voucher assistance programs.
CASH-BASED INTERVENTIONS TECHNICAL ADVISOR (Re-advertisement),,0,Technical Advisor,Provides technical advice on cash-based interventions.
Cash Digital Systems Business Unit Head,,0,Business Unit Head,Heads the digital systems unit for cash operations.
Cashier + stock controller,,0,Cashier and Stock Controller,Combines cashier duties with stock control responsibilities.
Cashier using cenet software,,0,Cashier,Operates cash register using Cenet software.
"Cash, Market & EWEA Technical Advisor",,0,Cash and Market Advisor,"Combines cash, market, and EWEA (Emergency Water, Sanitation, and Hygiene) advisory roles into a standard humanitarian cash and market advisor title."
Cash Transfer Programming Manger - (Re-advertisement),,0,Cash Transfer Program Manager,Corrects spelling of 'Manger' to 'Manager' and removes redundant '(Re-advertisement)' note.
Castle entertainment internet cafe,,0,Internet Cafe Attendant,"Describes a role at an internet cafe, typically involving customer service and computer access management."
CBE agent,,0,Bank Agent,CBE (Commercial Bank of Ethiopia) agent is a standard banking agent role.
ለ cbe birr ኦፕሬተርነት,,0,CBE Birr Operator,"Amharic 'ለ cbe birr ኦፕሬተርነት' translates to 'for CBE birr operator', a mobile money agent role."
CBE birr ኤጀንት,,0,CBE Birr Agent,Direct translation of 'CBE birr ኤጀንት' (agent) for the mobile money service.
C++ Blender Unity Revit Developer,,0,Software Developer,"Combines multiple programming languages and tools (C++, Blender, Unity, Revit) into a general software developer role."
CCM/E Engagement & Coordination Officer,,0,Community Engagement Officer,CCM/E likely stands for Community Case Management/Engagement; standardizes to a common coordination officer title.
CCNP data center management,,0,Data Center Manager,CCNP (Cisco Certified Network Professional) data center management maps to a data center management role.
CCR Operator,,0,Control Room Operator,CCR likely stands for Central Control Room; standardizes to a common operator title.
CCTV and Access Control Installer,,0,Security System Installer,CCTV and access control installation is a core function of a security system installer.
CCTV Camera and Networking Expert,,0,Network Security Specialist,"Combines CCTV expertise with networking, aligning with network security roles."
CCTV/Security Camera Operaror,,0,Security Surveillance Operator,Operating CCTV/security cameras is the primary duty of a surveillance operator.
CDT-Africa Postdoctoral Positions,,0,Postdoctoral Researcher,CDT-Africa is a research center; postdoctoral positions are standard research roles.
Center Head,,0,Center Manager,"Center Head typically oversees operations, similar to a manager."
Center Lead- SRH center,,0,SRH Program Lead,Leading a Sexual and Reproductive Health center is equivalent to a program lead role.
Central control system operetor,,0,Control Room Operator,Operating a central control system is the main task of a control room operator.
Central Data Processor,,0,Data Processor,"Central Data Processor focuses on processing data, a standard data role."
Centralized Endpoint & Server Management and automation Consultant,,0,IT Infrastructure Consultant,"Managing endpoints, servers, and automation falls under IT infrastructure consulting."
Central Lab Advisor (1),,0,Laboratory Advisor,"Central Lab Advisor advises on lab operations, matching a laboratory advisory role."
Ceremony Quality Evaluator Team Leader (Re-Advertised),,0,Quality Assurance Team Leader,"Ceremony quality evaluation is a form of quality assurance, and team leader is a supervisory role."
Certified content provider and translator for VAS company,,0,Content Provider,Focus on providing certified content and translation for a VAS company.
Certified Free Google Digital Skills,,0,Digital Skills Trainer,Certified Google Digital Skills implies training or teaching digital skills.
Certified High School Teachers with access to internet needed for short project,,0,Online Teacher,High school teachers with internet access for a short project suggests online teaching or tutoring.
CESP (Community Engagement and Sponsorship Program Officer),,0,Community Engagement Officer,"CESP stands for Community Engagement and Sponsorship Program, so the role is an officer in that program."
Chairman's & Group CEO's Office Head,,0,Chief of Staff,Head of Chairman's and Group CEO's office is equivalent to a chief of staff role.
Change Management Expert,,0,Change Management Specialist,Expert in change management is a specialist role.
Changing word document font to Unicode font,,0,Document Formatter,Task of changing font to Unicode is a document formatting job.
Channel Admin,,0,Channel Administrator,Channel Admin is short for channel administrator.
Character animations on Adobe aftereffects,,0,Motion Graphics Designer,Character animations on Adobe After Effects is a motion graphics design task.
ChartJS Expert,,0,Data Visualization Specialist,"ChartJS is a JavaScript library for creating charts, so the role is best mapped to a data visualization specialist."
Chemical Preparer and Formulator,,0,Chemical Technician,"A chemical preparer and formulator typically works in a lab setting preparing chemical mixtures, similar to a chemical technician."
Chief laboratory,,0,Laboratory Manager,"Chief laboratory implies a senior role overseeing lab operations, equivalent to a laboratory manager."
"Chief of Party, Civic Engagement Activity",,0,Project Director,"Chief of Party for a civic engagement activity is a senior leadership role managing a large project, similar to a project director."
Chief of Party (COP),,0,Project Director,"Chief of Party (COP) is a common title for senior project leads in development programs, equivalent to a project director."
"Chief of Party, Ethiopia Empowered Communities Activity",,0,Project Director,"Chief of Party for the Ethiopia Empowered Communities Activity is a senior project leadership role, mapped to project director."
Chief Strategy and Growth Officer (CSGO),,0,Chief Strategy Officer,"Chief Strategy and Growth Officer focuses on strategic planning and growth, similar to a chief strategy officer."
Chief with an article writing skill (Article writer),,0,Content Writer,"Chief with article writing skill indicates a role focused on writing articles, best mapped to a content writer."
Child Protection and Gender - Based Violence Prevention Coordinator,,0,Gender-Based Violence Coordinator,"This role coordinates child protection and GBV prevention, best mapped to a gender-based violence coordinator."
Child Protection and Participation Project Officer,,0,Child Protection Officer,"Child Protection and Participation Project Officer focuses on child protection and participation, similar to a child protection officer."
Child Protection (CP) and GBV Zonal Program Officer,,0,Child Protection Officer,Focuses on child protection and GBV program implementation at zonal level.
Child Protection in Emergencies (CPiE) and GBV Zonal Program Coordinator,,0,Child Protection Coordinator,Coordinates CPiE and GBV programs at zonal level.
Child Protection in Emergencies (CPiE) and GBV Zonal Program Coordinator,,0,Child Protection Coordinator,"Same as index 1, coordinates CPiE and GBV programs."
Child Protection in Emergency Officer,,0,Child Protection Officer,Focuses on child protection in emergency contexts.
Child Protection Specialist (AoR Coordinator) – UNICEF,,0,Child Protection Specialist,Specialist role coordinating child protection area of responsibility for UNICEF.
Chinese Language Operator,,0,Customer Service Representative,Chinese language operator role involves customer support or communication in Chinese.
Chroma Keyer and Clean Up Artist,,0,Video Editor,Chroma keying and cleanup are tasks within video editing and post-production.
Chrome Extension developer,,0,Software Developer,"Develops Chrome extensions, a specialized software development role."
Circuit Design and Assembly,,0,Electronics Technician,"Involves circuit design and assembly, typical for electronics technicians."
Citizenship and Moral Education Teacher,,0,Teacher,"Teaches citizenship and moral education, a teaching role."
Citizenship & Social Studies Teachers,,0,Social Studies Teacher,Citizenship & Social Studies Teachers are commonly referred to as Social Studies Teachers in Ethiopia.
Civic and Ethical Education Teacher,,0,Civics Teacher,Civic and Ethical Education Teacher is typically called a Civics Teacher in Ethiopian schools.
Civic and Voter Education (CVE) Campaign Expert,,0,Civic Education Officer,Civic and Voter Education Campaign Expert aligns with a Civic Education Officer role in NGOs or electoral bodies.
Civics PVA & C.T.E Teacher,,0,Civics Teacher,Civics PVA & C.T.E Teacher is a variant of a Civics Teacher in Ethiopian technical and vocational education.
Cleaner and Ceramic Tile Joint Filler,,0,Cleaner,"Cleaner and Ceramic Tile Joint Filler is primarily a cleaning role, mapped to Cleaner."
Cleaner & Messenger,,0,Messenger,"Cleaner & Messenger combines cleaning and delivery duties, but Messenger is the more specific standard role."
Clearing and Reconciliation Officer,,0,Reconciliation Officer,"Clearing and Reconciliation Officer is a finance role, best mapped to Reconciliation Officer."
Cloth desgin teacher,,0,Fashion Design Teacher,Cloth design teacher is typically a Fashion Design Teacher in Ethiopian vocational schools.
Cloud Test and Operations Engineer,,0,Cloud Engineer,"Cloud Test and Operations Engineer is a specialized role, but Cloud Engineer is the standard alternative."
Club / Lounge DJ,,0,DJ,Club / Lounge DJ is simply a DJ in Ethiopian entertainment contexts.
Cluster Apiculture Development Officer,,0,Apiculture Officer,"Cluster Apiculture Development Officer is a specialized agricultural role focused on beekeeping development, best mapped to the general Apiculture Officer."
Cluster Coordinator R4 Project,,0,Project Coordinator,"Cluster Coordinator R4 Project is a project coordination role, best mapped to the standard Project Coordinator."
Cluster Finance and Operations Officer,,0,Finance and Operations Officer,"Cluster Finance and Operations Officer combines finance and operations duties, best mapped to the standard Finance and Operations Officer."
Cluster & Forum Coordinator,,0,Forum Coordinator,"Cluster & Forum Coordinator focuses on coordinating forums and clusters, best mapped to Forum Coordinator."
CMAM SUPERVISOR,,0,Nutrition Supervisor,"CMAM SUPERVISOR oversees Community-based Management of Acute Malnutrition, best mapped to Nutrition Supervisor."
CNC machine bed designs 2d and 3d,,0,CNC Designer,"CNC machine bed designs 2d and 3d involves creating designs for CNC machines, best mapped to CNC Designer."
Cnc machine expert,,0,CNC Machine Operator,"Cnc machine expert is an expert in operating CNC machines, best mapped to CNC Machine Operator."
CNC Machine Operator & Designer,,0,CNC Machine Operator,"CNC Machine Operator & Designer combines operation and design, best mapped to CNC Machine Operator as the primary role."
"COC trainer Accounting level 2, 3 and 4",,0,Accounting Trainer,"COC trainer Accounting level 2, 3 and 4 trains in accounting competencies, best mapped to Accounting Trainer."
Codeigniter and Ionic Frame work Developer,,0,Full Stack Developer,"Codeigniter and Ionic Frame work Developer works with both backend (CodeIgniter) and mobile (Ionic) frameworks, best mapped to Full Stack Developer."
Coder and Content Creator Paid Internship,,0,Intern,Internship positions are mapped to the general 'Intern' role.
Coding Instractor,,0,Instructor,Coding Instructor is a type of instructor.
Co facilitator and Observer,,0,Facilitator,Co-facilitator and observer roles are similar to a facilitator.
Coffee Marketing and Livelihood Facilitator,,0,Livelihood Facilitator,Coffee marketing and livelihood facilitation is a specialized livelihood facilitator role.
Coffee Washing Station Head,,0,Operations Manager,Head of a coffee washing station oversees operations.
"Collaborating, Learning, and Adapting (CLA) Director, USAID Ethiopia Resilience Learning Activity (RLA)",,0,Director,CLA Director is a director-level position.
"Collaborating, Learning and Adapting (CLA) Lead",,0,Lead,CLA Lead is a lead role.
"Collaborating, Learning and Adapting (CLA) Specialist",,0,Specialist,CLA Specialist is a specialist role.
Collaboration Solutions Engineer,,0,Solutions Engineer,Collaboration Solutions Engineer is a type of solutions engineer.
Collateral Registration Officer (Head Office),,0,Registration Officer,Collateral Registration Officer at head office is a registration officer role.
Collateral Valuation Expert - Mechanical Engineer,,0,Mechanical Engineer,The role focuses on mechanical engineering expertise for collateral valuation.
Collection and Disbursement head,,0,Collections Manager,"Oversees collection and disbursement operations, typical for a financial manager."
College application and customer service,,0,Customer Service Representative,Combines college application support with customer service duties.
Comercial Department Assistance,,0,Administrative Assistant,"Provides assistance to the commercial department, typical administrative support."
Comic book story developer (Afaan Oromo),,0,Content Writer,"Develops comic book stories in Afaan Oromo, a creative writing role."
Commercial Manager at Terra LAB,,0,Commercial Manager,"Manages commercial activities at Terra LAB, a standard commercial management role."
Commercial Services Lead- Maternity Network,,0,Program Manager,"Leads commercial services for a maternity network, program management focus."
Commission Based Intern Program,,0,Intern,"Commission-based intern program, entry-level position."
commissioning business biology/chemistry,,0,Commissioning Engineer,"Involves commissioning in biology/chemistry, typical for a commissioning engineer."
Commodity and Compliance and Monitoring Officer,,0,Compliance Officer,"Monitors commodity and compliance, core compliance duties."
Commodity & Logistics Team Lead FO,,0,Logistics Team Lead,"Commodity & Logistics Team Lead FO is a logistics management role, best mapped to Logistics Team Lead."
Commodity Reporting and Systems Tracking Senior Officer (CRSTO),,0,Supply Chain Analyst,"Commodity Reporting and Systems Tracking Senior Officer focuses on data and systems for commodity tracking, similar to Supply Chain Analyst."
Common App Essay Writer,,0,Content Writer,"Common App Essay Writer is a writing role, mapped to Content Writer as a general alternative."
Communication and Advocacy Senior Expert,,0,Communications Manager,"Communication and Advocacy Senior Expert is a senior communications role, best mapped to Communications Manager."
Communication and public relation voluntary,,0,Communications Assistant,"Communication and public relation voluntary is an entry-level communications role, mapped to Communications Assistant."
Communication Lead,,0,Communications Manager,"Communication Lead is a leadership role in communications, mapped to Communications Manager."
Communication Officer Intern (Unpaid Internship),,0,Communications Intern,"Communication Officer Intern (Unpaid Internship) is an internship, mapped to Communications Intern."
Community Accountability Reporting Mechanism (CARM) officer,,0,Accountability Officer,"Community Accountability Reporting Mechanism (CARM) officer focuses on accountability and reporting, mapped to Accountability Officer."
Community Based Facilitators (CBF) – Agriculture,,0,Agricultural Extension Officer,"Community Based Facilitators (CBF) – Agriculture involves facilitating agricultural activities, similar to Agricultural Extension Officer."
Community Based socio-therapy (CBS) Project Officer,,0,Project Officer,"Community Based socio-therapy (CBS) Project Officer is a project management role in social therapy, mapped to Project Officer."
Community Contact & Feedback Operator Afan Orormo-4 months maternity cover,,0,Community Liaison Officer,"The role involves community contact and feedback, similar to a liaison officer, and is a temporary maternity cover."
Community Development Facilitator (CDF)- for Sustainable Food Security Project,,0,Community Development Officer,"Focuses on facilitating development in a food security project, aligning with a community development role."
Community Engagement & Development (CED) Officer- Maternity Cover,,0,Community Engagement Officer,"Directly matches the title of Community Engagement & Development Officer, with a maternity cover context."
Community Engagement Facilitators,,0,Community Engagement Officer,Facilitators in community engagement are equivalent to officers in this context.
Community Mobilization and Surveillance Specialist,,0,Community Mobilization Specialist,"Combines mobilization and surveillance, but the core is community mobilization."
"Community Mobilizer, EHF Project /Afar region, Teru Woreda",,0,Community Mobilizer,"Exact match for the role, with specific location and project context."
Community Mobilizer – Mental Health and Nutrition Team (MHNT) Reports to Medical Officer,,0,Community Health Mobilizer,"Focuses on mental health and nutrition within a medical team, aligning with health mobilization."
Community Nutrition Emergency Preparedness and Response Advisor,,0,Nutrition Emergency Advisor,"Specializes in nutrition emergency preparedness and response, a senior advisory role."
Community Wellbeing Initiative (CWI) Manager,,0,Community Program Manager,"Manages a community wellbeing initiative, equivalent to a program manager."
Compacting Equipment Operator D.2,,0,Heavy Equipment Operator,"Operates compacting equipment, a type of heavy machinery, in a construction or industrial setting."
Company Logo,,0,Graphic Designer,Company Logo is a specific design task typically handled by a graphic designer.
Company Messenger,,0,Office Messenger,Company Messenger is a standard term for an office messenger in Ethiopia.
Company Messenger & Outdoor Sales,,0,Sales and Messenger Officer,"Combines messenger duties with outdoor sales, common in Ethiopian small businesses."
Company model and marketers,,0,Model and Marketing Agent,Company model and marketers refers to individuals who model and market products.
Company profile creator,,0,Content Creator,"Company profile creator involves writing and designing company profiles, a content creation role."
company stationary design and printing,,0,Graphic Designer,Company stationary design and printing is a graphic design task.
Compensations and Benefits Head,,0,Compensation and Benefits Manager,Compensations and Benefits Head is a managerial role overseeing compensation and benefits.
"Compliance, Risk and Grant Manager (BRIDGES Programme)",,0,Compliance and Risk Manager,"Compliance, Risk and Grant Manager (BRIDGES Programme) focuses on compliance and risk management within a program."
Compliant and Feedback Mechanism Intern.,,0,Complaint and Feedback Intern,Compliant and Feedback Mechanism Intern is likely a typo for Complaint and Feedback Intern.
Compound director,,0,Compound Manager,Compound director is a local term for a manager overseeing a residential or office compound in Ethiopia.
Compressor Techinician,,0,Compressor Technician,Corrected spelling of 'Techinician' to 'Technician' and mapped to the standard title for compressor maintenance and repair.
የ Computer ጥገና,,0,Computer Maintenance Technician,"The Amharic phrase 'የ Computer ጥገና' translates to 'Computer Maintenance', which aligns with the standard role of a Computer Maintenance Technician."
Computer program Developer on mern stac,,0,MERN Stack Developer,"The title describes a developer specializing in the MERN stack (MongoDB, Express.js, React, Node.js), which is the standard term for this role."
Computer Science Virtual Assistants,,0,Virtual Assistant,"The title 'Computer Science Virtual Assistants' implies a virtual assistant role, likely with a computer science background, but the core function is that of a Virtual Assistant."
COMSOL Multiphysics Modeling Software Professional,,0,COMSOL Multiphysics Specialist,"The title refers to a professional skilled in using COMSOL Multiphysics software, commonly known as a COMSOL Multiphysics Specialist."
Concert Baching Plant Mechanic,,0,Batching Plant Mechanic,Corrected 'Concert' to 'Concrete' (likely a typo) and mapped to the standard title for a mechanic maintaining concrete batching plants.
Concrete Batching Plant Electrical System Technician,,0,Batching Plant Electrical Technician,Mapped to the standard title for an electrical technician specializing in concrete batching plant electrical systems.
Concrete Batching Plant Mechanical Systems Technician,,0,Batching Plant Mechanical Technician,Mapped to the standard title for a mechanical technician specializing in concrete batching plant mechanical systems.
Concrete Batching Plant Operations Manager,,0,Batching Plant Operations Manager,Mapped to the standard title for a manager overseeing the operations of a concrete batching plant.
"Conflict and Peacebuilding Lead, CSSPII Project",,0,Conflict and Peacebuilding Lead,The title is already standard; removed the project-specific suffix 'CSSPII Project' for a more general role mapping.
Conflict Transformation & Gender Advisor,,0,Gender Advisor,"Conflict transformation is a specialized area, but the core role aligns with gender advisory in Ethiopian context."
Construction Foreman (Building),,0,Construction Foreman,Direct match; 'Building' is a common specification in Ethiopia.
"Construction Machinery, Equipment & Maintenance Dep’t Head",,0,Equipment Maintenance Manager,Department head role focused on machinery and maintenance in construction.
Construction site cashier,,0,Construction Cashier,"Site-specific cashier role in construction, common in Ethiopia."
Construction Site Forman,,0,Construction Foreman,Typo for 'Foreman'; same role as item 1.
Consultancy Announcement For Developing Different Organizational Manuals,,0,Organizational Development Consultant,Consultancy for developing manuals aligns with OD work in Ethiopia.
Consultancy for Graduate Tracer Study,,0,Research Consultant,"Graduate tracer study is a research project, common consultancy in Ethiopia."
